locus	description	name
PA0001	chromosomal replication initiator protein DnaA	dnaA
PA0002	DNA polymerase III, beta chain	dnaN
PA0003	RecF protein	recF
PA0004	DNA gyrase subunit B	gyrB
PA0005	lysophosphatidic acid acyltransferase, LptA	lptA
PA0006	conserved hypothetical protein	PA0006
PA0007	hypothetical protein	PA0007
PA0008	glycyl-tRNA synthetase beta chain	glyS
PA0009	glycyl-tRNA synthetase alpha chain	glyQ
PA0010	DNA-3-methyladenine glycosidase I	tag
PA0011	acyltransferase HtrB1	htrB1
PA0012	hypothetical protein	PA0012
PA0013	conserved hypothetical protein	PA0013
PA0014	hypothetical protein	PA0014
PA0015	hypothetical protein	PA0015
PA0016	potassium uptake protein TrkA	trkA
PA0017	conserved hypothetical protein	PA0017
PA0018	methionyl-tRNA formyltransferase	fmt
PA0019	polypeptide deformylase	def
PA0020	T4P secretin-associated protein TsaP	tsaP
PA0021	conserved hypothetical protein	PA0021
PA0022	conserved hypothetical protein	PA0022
PA0023	quinone oxidoreductase	qor
PA0024	coproporphyrinogen III oxidase, aerobic	hemF
PA0025	shikimate dehydrogenase	aroE
PA0026	phospholipase C, PlcB	plcB
PA0027	hypothetical protein	PA0027
PA0028	hypothetical protein	PA0028
PA0029	probable sulfate transporter	PA0029
PA0030	CosX	cosX
PA0031	choline sulfatase	betC
PA0032	probable transcriptional regulator	PA0032
PA0033	Histidine phosphotransfer protein HptC	hptC
PA0034	probable two-component response regulator	PA0034
PA0035	tryptophan synthase alpha chain	trpA
PA0036	tryptophan synthase beta chain	trpB
PA0037	transcriptional regulator TrpI	trpI
PA0038	hypothetical protein	PA0038
PA0039	hypothetical protein	PA0039
PA0040	conserved hypothetical protein	PA0040
PA0041	probable hemagglutinin	PA0041
PA0042	hypothetical protein	PA0042
PA0043	hypothetical protein	PA0043
PA0044	exoenzyme T	exoT
PA0045	hypothetical protein	PA0045
PA0046	hypothetical protein	PA0046
PA0047	hypothetical protein	PA0047
PA0048	probable transcriptional regulator	PA0048
PA0049	hypothetical protein	PA0049
PA0050	hypothetical protein	PA0050
PA0051	potential phenazine-modifying enzyme	phzH
PA0052	hypothetical protein	PA0052
PA0053	hypothetical protein	PA0053
PA0054	conserved hypothetical protein	PA0054
PA0055	hypothetical protein	PA0055
PA0056	probable transcriptional regulator	PA0056
PA0057	hypothetical protein	PA0057
PA0058	DsbM	dsbM
PA0059	osmotically inducible protein OsmC	osmC
PA0060	conserved hypothetical protein	PA0060
PA0061	hypothetical protein	PA0061
PA0062	hypothetical protein	PA0062
PA0063	hypothetical protein	PA0063
PA0064	hypothetical protein	PA0064
PA0065	hypothetical protein	PA0065
PA0066	conserved hypothetical protein	PA0066
PA0067	oligopeptidase A	prlC
PA0068	hypothetical protein	PA0068
PA0069	conserved hypothetical protein	PA0069
PA0070	TagQ1	tagQ1
PA0071	TagR1	tagR1
PA0072	TagS1	tagS1
PA0073	TagT1	tagT1
PA0074	serine/threonine protein kinase PpkA	ppkA
PA0075	PppA	pppA
PA0076	TagF1	tagF1
PA0077	IcmF1	icmF1
PA0078	TssL1	tssL1
PA0079	TssK1	tssK1
PA0080	TssJ1	tssJ1
PA0081	Fha1	fha1
PA0082	TssA1	tssA1
PA0083	TssB1	tssB1
PA0084	TssC1	tssC1
PA0085	Hcp1	hcp1
PA0086	TagJ1	tagJ1
PA0087	TssE1	tssE1
PA0088	TssF1	tssF1
PA0089	TssG1	tssG1
PA0090	ClpV1	clpV1
PA0091	VgrG1	vgrG1
PA0092	Tsi6	tsi6
PA0093	Tse6	tse6
PA0094	EagT6	eagT6
PA0095	conserved hypothetical protein	PA0095
PA0096	hypothetical protein	PA0096
PA0097	hypothetical protein	PA0097
PA0098	hypothetical protein	PA0098
PA0099	hypothetical protein	PA0099
PA0100	hypothetical protein	PA0100
PA0101	hypothetical protein	PA0101
PA0102	probable carbonic anhydrase	PA0102
PA0103	probable sulfate transporter	PA0103
PA0104	hypothetical protein	PA0104
PA0105	cytochrome c oxidase, subunit II	coxB
PA0106	cytochrome c oxidase, subunit I	coxA
PA0107	conserved hypothetical protein	PA0107
PA0108	cytochrome c oxidase, subunit III	coIII
PA0109	hypothetical protein	PA0109
PA0110	hypothetical protein	PA0110
PA0111	hypothetical protein	PA0111
PA0112	hypothetical protein	PA0112
PA0113	probable cytochrome c oxidase assembly factor	PA0113
PA0114	SenC	senC
PA0115	conserved hypothetical protein	PA0115
PA0116	hypothetical protein	PA0116
PA0117	probable short chain dehydrogenase	PA0117
PA0118	hypothetical protein	PA0118
PA0119	probable dicarboxylate transporter	PA0119
PA0120	probable transcriptional regulator	PA0120
PA0121	hypothetical protein	PA0121
PA0122	rahU	rahU
PA0123	probable transcriptional regulator	PA0123
PA0124	hypothetical protein	PA0124
PA0125	hypothetical protein	PA0125
PA0126	hypothetical protein	PA0126
PA0127	hypothetical protein	PA0127
PA0128	conserved hypothetical protein	PA0128
PA0129	Amino acid permease	bauD
PA0130	3-Oxopropanoate dehydrogenase	bauC
PA0131	BauB	bauB
PA0132	Beta-alanine:pyruvate transaminase	bauA
PA0133	BauR	bauR
PA0134	probable guanine deaminase	PA0134
