locus	description	name
PALES_00001	chromosomal replication initiation protein	dnaA
PALES_00011	DNA polymerase III subunit beta	dnaN
PALES_00021	recombination protein F	recF
PALES_00031	DNA gyrase subunit B	gyrB
PALES_00041	lysophosphatidic acid acyltransferase, LptA	lptA
PALES_00051	D,D-heptose 1,7-bisphosphate phosphatase	PALES_00051
PALES_00061	hypothetical protein	PALES_00061
PALES_00071	glycyl-tRNA synthetase subunit beta	glyS
PALES_00081	glycyl-tRNA synthetase subunit alpha	glyQ
PALES_00091	DNA-3-methyladenine glycosidase I	tag
PALES_00101	lipid A biosynthesis lauroyl acyltransferase	PALES_00101
PALES_00111	hypothetical protein	PALES_00111
PALES_00121	hypothetical protein	PALES_00121
PALES_00131	hypothetical protein	PALES_00131
PALES_00141	putative tetratricopeptide repeat domain	PALES_00141
PALES_00151	potassium transporter peripheral membrane component	trkA
PALES_00161	putative tRNA and rRNA cytosine-C5-methylases	PALES_00161
PALES_00171	methionyl-tRNA formyltransferase	fmt
PALES_00181	peptide deformylase	def
PALES_00191	putative lysin domain	PALES_00191
PALES_00201	putative Rossmann fold nucleotide-binding protein	PALES_00201
PALES_00211	putative translation factor	PALES_00211
PALES_00221	quinone oxidoreductase	qor
PALES_00231	coproporphyrinogen III oxidase	hemF
PALES_00241	shikimate 5-dehydrogenase	aroE
PALES_00251	phospholipase C, PlcB	plcB
PALES_00261	putative peptidyl-prolyl isomerase	PALES_00261
PALES_00271	hypothetical protein	PALES_00271
PALES_00281	putative sulfate transporter	PALES_00281
PALES_00291	putative glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein	PALES_00291
PALES_00301	choline sulfatase	betC
PALES_00311	putative transcriptional regulator	PALES_00311
PALES_00321	putative histidine phosphotransfer domain	PALES_00321
PALES_00331	putative two-component response regulator	PALES_00331
PALES_00341	tryptophan synthase subunit alpha	trpA
PALES_00351	tryptophan synthase subunit beta	trpB
PALES_00361	transcriptional regulator TrpI	trpI
PALES_00371	hypothetical protein	PALES_00371
PALES_00381	hypothetical protein	PALES_00381
PALES_00391	putative hemolysin activation/secretion protein	PALES_00391
PALES_00401	putative hemagglutinin	PALES_00401
PALES_00411	hypothetical protein	PALES_00411
PALES_00421	hypothetical protein	PALES_00421
PALES_00431	hypothetical protein	PALES_00431
PALES_00441	hypothetical protein	PALES_00441
PALES_00451	exoenzyme T	exoT
PALES_00461	putative lipoprotein	PALES_00461
PALES_00471	putative lipoprotein	PALES_00471
PALES_00481	putative lipoprotein	PALES_00481
PALES_00491	putative transcriptional regulator	PALES_00491
PALES_00501	hypothetical protein	PALES_00501
PALES_00521	potential phenazine-modifying enzyme	phzH
PALES_00531	hypothetical protein	PALES_00531
PALES_00561	hypothetical protein	PALES_00561
PALES_00571	putative transcriptional regulator	PALES_00571
PALES_00581	putative metallo-beta-lactamase	PALES_00581
PALES_00591	putative protein-disulfide isomerase	PALES_00591
PALES_00601	osmotically inducible protein OsmC	osmC
PALES_00611	hypothetical protein	PALES_00611
PALES_00621	hypothetical protein	PALES_00621
PALES_00631	putative lipoprotein	PALES_00631
PALES_00641	putative aminopeptidase	PALES_00641
PALES_00651	hypothetical protein	PALES_00651
PALES_00661	putative phosphatase	PALES_00661
PALES_00671	putative carbonic anhydrases	PALES_00671
PALES_00681	oligopeptidase A	prlC
PALES_00691	putative nucleic-acid-binding protein	PALES_00691
PALES_00701	putative DNA repair photolyase	PALES_00701
PALES_00711	hypothetical protein	PALES_00711
PALES_00721	hypothetical protein	PALES_00721
PALES_00731	putative permease	PALES_00731
PALES_00741	putative ATP-binding component of ABC transporter	PALES_00741
PALES_00751	serine/threonine protein kinase PpkA	ppkA
PALES_00761	putative phosphoprotein phosphatase	PALES_00761
PALES_00771	hypothetical protein	PALES_00771
PALES_00781	hypothetical protein	PALES_00781
PALES_00791	hypothetical protein	PALES_00791
PALES_00801	hypothetical protein	PALES_00801
PALES_00811	putative lipoprotein	PALES_00811
PALES_00821	hypothetical protein	PALES_00821
PALES_00831	hypothetical protein	PALES_00831
PALES_00841	hypothetical protein	PALES_00841
PALES_00851	hypothetical protein	PALES_00851
PALES_00861	hypothetical protein	PALES_00861
PALES_00871	putative secretion protein	PALES_00871
PALES_00881	hypothetical protein	PALES_00881
PALES_00891	hypothetical protein	PALES_00891
PALES_00901	hypothetical protein	PALES_00901
PALES_00911	putative ClpA/B-type chaperone	PALES_00911
PALES_00921	hypothetical protein	PALES_00921
PALES_00931	hypothetical protein	PALES_00931
PALES_00941	hypothetical protein	PALES_00941
PALES_00951	hypothetical protein	PALES_00951
PALES_00961	hypothetical protein	PALES_00961
PALES_00971	hypothetical protein	PALES_00971
PALES_00981	hypothetical protein	PALES_00981
PALES_00991	3-oxoacyl-(acyl carrier protein) synthase	PALES_00991
PALES_01001	hypothetical protein	PALES_01001
PALES_01011	hypothetical protein	PALES_01011
PALES_01021	hypothetical protein	PALES_01021
PALES_01031	putative carbonic anhydrase	PALES_01031
PALES_01041	putative sulfate transporter	PALES_01041
PALES_01051	hypothetical protein	PALES_01051
PALES_01061	cytochrome c oxidase, subunit II	coxB
PALES_01071	cytochrome c oxidase, subunit I	coxA
PALES_01081	cytochrome C oxidase assembly protein	PALES_01081
PALES_01091	cytochrome c oxidase, subunit III	coIII
PALES_01101	hypothetical protein	PALES_01101
PALES_01111	hypothetical protein	PALES_01111
PALES_01121	hypothetical protein	PALES_01121
PALES_01131	putative cytochrome oxidase assembly protein	PALES_01131
PALES_01141	protoheme IX farnesyltransferase	PALES_01141
PALES_01151	putative Sco1/SenC family protein	PALES_01151
PALES_01161	putative acyltransferase	PALES_01161
PALES_01171	putative transcriptional regulator	PALES_01171
PALES_01181	putative short chain dehydrogenase	PALES_01181
PALES_01191	putative 2-hydroxychromene-2-carboxylate isomerase	PALES_01191
PALES_01201	C4-dicarboxylate transporter DctA	PALES_01201
PALES_01211	putative transcriptional regulator	PALES_01211
PALES_01221	putative transcriptional regulator	PALES_01221
PALES_01231	putative hemolysin	PALES_01231
PALES_01241	putative transcriptional regulator	PALES_01241
PALES_01251	putative plasmid stabilisation system protein	PALES_01251
PALES_01261	putative transcriptional regulator	PALES_01261
PALES_01271	hypothetical protein	PALES_01271
PALES_01281	putative lipoprotein	PALES_01281
PALES_01291	putative alkylphosphonate uptake protein	PALES_01291
PALES_01301	gamma-aminobutyrate permease	gabP
PALES_01311	putative aldehyde dehydrogenase	PALES_01311
PALES_01321	hypothetical protein	PALES_01321
PALES_01331	beta alanine--pyruvate transaminase	PALES_01331
PALES_01341	putative transcriptional regulator	PALES_01341
PALES_01351	guanine deaminase	PALES_01351
PALES_01361	hypothetical protein	PALES_01361
PALES_01371	putative ATP-binding component of ABC transporter	PALES_01371
PALES_01381	putative permease of ABC transporter	PALES_01381
PALES_01391	putative permease of ABC transporter	PALES_01391
PALES_01401	alkyl hydroperoxide reductase subunit C	ahpC
PALES_01411	alkyl hydroperoxide reductase subunit F	ahpF
PALES_01421	hypothetical protein	PALES_01421
PALES_01431	hydroxydechloroatrazine ethylaminohydrolase	PALES_01431
PALES_01441	nonspecific ribonucleoside hydrolase	nuh
PALES_01451	putative nucleoside 2-deoxyribosyltransferase	PALES_01451
PALES_01461	putative nucleoside 2-deoxyribosyltransferase	PALES_01461
PALES_01471	putative basic membrane protein (bmp)	PALES_01471
PALES_01481	putative oxidoreductase	PALES_01481
PALES_01491	adenosine deaminase	PALES_01491
PALES_01501	putative sigma-70 factor, ECF subfamily	PALES_01501
PALES_01511	putative transmembrane sensor	PALES_01511
PALES_01521	putative TonB-dependent receptor	PALES_01521
PALES_01531	transcriptional regulator PcaQ	pcaQ
PALES_01541	protocatechuate 3,4-dioxygenase, beta subunit	pcaH
PALES_01551	protocatechuate 3,4-dioxygenase, alpha subunit	pcaG
PALES_01561	transcriptional regulator PcaR	pcaR
PALES_01571	putative Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor	PALES_01571
PALES_01581	putative Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor	PALES_01581
PALES_01591	putative Resistance-Nodulation-Cell Division (RND) efflux transporter	PALES_01591
