locus	description	name
PA14_00010	chromosomal replication initiation protein	dnaA
PA14_00020	DNA polymerase III subunit beta	dnaN
PA14_00030	recombination protein F	recF
PA14_00050	DNA gyrase subunit B	gyrB
PA14_00060	acyltransferase	PA14_00060
PA14_00070	D,D-heptose 1,7-bisphosphate phosphatase	PA14_00070
PA14_00080	hypothetical protein	PA14_00080
PA14_00090	glycyl-tRNA synthetase subunit beta	glyS
PA14_00100	glycyl-tRNA synthetase subunit alpha	glyQ
PA14_00110	DNA-3-methyladenine glycosidase I	tag
PA14_00120	lipid A biosynthesis lauroyl acyltransferase	PA14_00120
PA14_00130	hypothetical protein	PA14_00130
PA14_00140	hypothetical protein	PA14_00140
PA14_00150	hypothetical protein	PA14_00150
PA14_00160	hypothetical protein	PA14_00160
PA14_00170	potassium transporter peripheral membrane protein	trkA
PA14_00180	tRNA and rRNA cytosine-C5-methylases	PA14_00180
PA14_00190	methionyl-tRNA formyltransferase	fmt
PA14_00200	peptide deformylase	def
PA14_00210	lysin domain-containing protein	PA14_00210
PA14_00230	Rossmann fold nucleotide-binding protein	PA14_00230
PA14_00240	hypothetical protein	PA14_00240
PA14_00250	quinone oxidoreductase	qor
PA14_00280	coproporphyrinogen III oxidase	hemF
PA14_00290	shikimate 5-dehydrogenase	aroE
PA14_00300	phospholipase C, PlcB	plcB
PA14_00310	peptidyl-prolyl isomerase	PA14_00310
PA14_00320	hypothetical protein	PA14_00320
PA14_00340	sulfate transporter	PA14_00340
PA14_00360	hypothetical protein	PA14_00360
PA14_00380	choline sulfatase	betC
PA14_00400	LysR family transcriptional regulator	PA14_00400
PA14_00410	dioxygenase	PA14_00410
PA14_00420	histidine phosphotransfer domain-containing protein	PA14_00420
PA14_00430	two-component response regulator	PA14_00430
PA14_00440	tryptophan synthase subunit alpha	trpA
PA14_00450	tryptophan synthase subunit beta	trpB
PA14_00460	transcriptional regulator TrpI	trpI
PA14_00470	hypothetical protein	PA14_00470
PA14_00480	hypothetical protein	PA14_00480
PA14_00490	hemolysin activation/secretion protein	PA14_00490
PA14_00510	hemagglutinin	PA14_00510
PA14_00520	hypothetical protein	PA14_00520
PA14_00530	hypothetical protein	PA14_00530
PA14_00550	hypothetical protein	PA14_00550
PA14_00560	exoenzyme T	exoT
PA14_00570	lipoprotein	PA14_00570
PA14_00580	lipoprotein	PA14_00580
PA14_00590	lipoprotein	PA14_00590
PA14_00600	transcriptional regulator	PA14_00600
PA14_00620	hypothetical protein	PA14_00620
PA14_00630	hypothetical protein	PA14_00630
PA14_00640	potential phenazine-modifying enzyme	phzH
PA14_00650	hypothetical protein	PA14_00650
PA14_00660	RNA 2'-phosphotransferase-like protein	PA14_00660
PA14_00670	hypothetical protein	PA14_00670
PA14_00680	LysR family transcriptional regulator	PA14_00680
PA14_00690	hypothetical protein	PA14_00690
PA14_00700	hypothetical protein	PA14_00700
PA14_00710	osmotically inducible protein OsmC	osmC
PA14_00720	hypothetical protein	PA14_00720
PA14_00730	hypothetical protein	PA14_00730
PA14_00740	lipoprotein	PA14_00740
PA14_00750	hypothetical protein	PA14_00750
PA14_00760	hypothetical protein	PA14_00760
PA14_00770	hypothetical protein	PA14_00770
PA14_00780	hypothetical protein	PA14_00780
PA14_00790	oligopeptidase A	prlC
PA14_00800	hypothetical protein	PA14_00800
PA14_00810	DNA repair photolyase	PA14_00810
PA14_00820	hypothetical protein	PA14_00820
PA14_00830	hypothetical protein	PA14_00830
PA14_00850	hypothetical protein	PA14_00850
PA14_00860	ABC transporter ATP-binding protein	PA14_00860
PA14_00875	serine/threonine protein kinase PpkA	ppkA
PA14_00890	phosphoprotein phosphatase	PA14_00890
PA14_00900	hypothetical protein	PA14_00900
PA14_00910	hypothetical protein	PA14_00910
PA14_00925	hypothetical protein	PA14_00925
PA14_00940	hypothetical protein	PA14_00940
PA14_00960	lipoprotein	PA14_00960
PA14_00970	hypothetical protein	PA14_00970
PA14_00980	hypothetical protein	PA14_00980
PA14_00990	hypothetical protein	PA14_00990
PA14_01010	hypothetical protein	PA14_01010
PA14_01020	hypothetical protein	PA14_01020
PA14_01030	hypothetical protein	PA14_01030
PA14_01040	secretion protein	PA14_01040
PA14_01060	hypothetical protein	PA14_01060
PA14_01070	hypothetical protein	PA14_01070
PA14_01080	hypothetical protein	PA14_01080
PA14_01100	ClpA/B-type chaperone	PA14_01100
PA14_01110	hypothetical protein	PA14_01110
PA14_01120	hypothetical protein	PA14_01120
PA14_01130	hypothetical protein	PA14_01130
PA14_01140	hypothetical protein	PA14_01140
PA14_01150	hypothetical protein	PA14_01150
PA14_01160	hypothetical protein	PA14_01160
PA14_01170	hypothetical protein	PA14_01170
PA14_01180	hypothetical protein	PA14_01180
PA14_01190	3-oxoacyl-ACP synthase	PA14_01190
PA14_01200	hypothetical protein	PA14_01200
PA14_01220	hypothetical protein	PA14_01220
PA14_01230	hypothetical protein	PA14_01230
PA14_01240	carbonic anhydrase	PA14_01240
PA14_01250	sulfate transporter	PA14_01250
PA14_01270	hypothetical protein	PA14_01270
PA14_01290	cytochrome c oxidase subunit II	coxB
PA14_01300	cytochrome c oxidase subunit I	coxA
PA14_01310	cytochrome C oxidase assembly protein	PA14_01310
PA14_01320	cytochrome c oxidase subunit III	coIII
PA14_01330	hypothetical protein	PA14_01330
PA14_01340	hypothetical protein	PA14_01340
PA14_01350	hypothetical protein	PA14_01350
PA14_01360	hypothetical protein	PA14_01360
PA14_01380	protoheme IX farnesyltransferase	PA14_01380
PA14_01390	hypothetical protein	PA14_01390
PA14_01400	hypothetical protein	PA14_01400
PA14_01410	hypothetical protein	PA14_01410
PA14_01430	short chain dehydrogenase	PA14_01430
PA14_01440	hypothetical protein	PA14_01440
PA14_01460	C4-dicarboxylate transporter DctA	PA14_01460
PA14_01470	transcriptional regulator	PA14_01470
PA14_01480	hypothetical protein	PA14_01480
PA14_01490	hemolysin	PA14_01490
PA14_01500	transcriptional regulator	PA14_01500
PA14_01510	hypothetical protein	PA14_01510
PA14_01520	hypothetical protein	PA14_01520
PA14_01540	hypothetical protein	PA14_01540
PA14_01550	lipoprotein	PA14_01550
PA14_01560	hypothetical protein	PA14_01560
PA14_01580	gamma-aminobutyrate permease	gabP
PA14_01600	aldehyde dehydrogenase	PA14_01600
PA14_01610	hypothetical protein	PA14_01610
PA14_01620	beta alanine--pyruvate transaminase	aptA
PA14_01640	LysR family transcriptional regulator	PA14_01640
PA14_01660	guanine deaminase	PA14_01660
PA14_01670	ABC transporter ATP-binding protein	PA14_01670
PA14_01680	ABC transporter permease	PA14_01680
PA14_01690	ABC transporter permease	PA14_01690
PA14_01710	alkyl hydroperoxide reductase	ahpC
PA14_01720	alkyl hydroperoxide reductase	ahpF
PA14_01730	hypothetical protein	PA14_01730
PA14_01750	hydroxydechloroatrazine ethylaminohydrolase	PA14_01750
PA14_01760	nonspecific ribonucleoside hydrolase	nuh
PA14_01770	nucleoside-binding outer membrane protein	PA14_01770
PA14_01780	nucleoside 2-deoxyribosyltransferase	PA14_01780
PA14_01790	nucleoside 2-deoxyribosyltransferase	PA14_01790
PA14_01800	hypothetical protein	PA14_01800
PA14_01810	oxidoreductase	PA14_01810
PA14_01830	adenosine deaminase	PA14_01830
PA14_01840	RNA polymerase ECF-subfamily sigma-70 factor	PA14_01840
PA14_01860	transmembrane sensor	PA14_01860
PA14_01870	TonB-dependent receptor	PA14_01870
PA14_01890	transcriptional regulator PcaQ	pcaQ
PA14_01900	protocatechuate 3,4-dioxygenase subunit beta	pcaH
PA14_01910	protocatechuate 3,4-dioxygenase subunit alpha	pcaG
PA14_01930	transcriptional regulator PcaR	pcaR
PA14_01940	RND efflux membrane fusion protein	PA14_01940
PA14_01960	RND efflux membrane fusion protein	PA14_01960
PA14_01970	RND efflux transporter	PA14_01970
PA14_01980	LysR family transcriptional regulator	PA14_01980
PA14_01990	hypothetical protein	PA14_01990
PA14_02010	hypothetical protein	PA14_02010
PA14_02020	outer membrane porin	PA14_02020
PA14_02030	AraC family transcriptional regulator	PA14_02030
PA14_02050	gamma-glutamyltranspeptidase	PA14_02050
PA14_02060	hypothetical protein	PA14_02060
PA14_02070	transporter	PA14_02070
PA14_02090	TetR family transcriptional regulator	PA14_02090
PA14_02100	hypothetical protein	PA14_02100
